"","Action","Adventure","Animation","Children","Comedy","Crime","Documentary","Drama","Fantasy","Film-Noir","Horror","IMAX","Musical","Mystery","Romance","Sci-Fi","Thriller","War","Western","(no genres listed)"
"137403",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4268",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3063",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"88106",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"6186",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"211",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2864",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"2861",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"130970",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
